Mes,Comprar_online,Centro_comercial
2004-01,3,45
2004-02,2,35
2004-03,3,34
2004-04,3,39
2004-05,3,38
2004-06,3,38
2004-07,4,41
2004-08,4,41
2004-09,2,45
2004-10,3,56
2004-11,4,57
2004-12,4,61
2005-01,5,52
2005-02,4,40
2005-03,1,45
2005-04,3,43
2005-05,2,47
2005-06,3,41
2005-07,4,50
2005-08,2,53
2005-09,4,46
2005-10,3,53
2005-11,3,51
2005-12,3,60
2006-01,3,49
2006-02,3,37
2006-03,3,44
2006-04,2,45
2006-05,3,52
2006-06,2,45
2006-07,2,51
2006-08,3,51
2006-09,3,50
2006-10,4,51
2006-11,3,47
2006-12,4,64
2007-01,3,48
2007-02,2,34
2007-03,2,35
2007-04,3,40
2007-05,3,39
2007-06,3,39
2007-07,4,46
2007-08,3,45
2007-09,4,38
2007-10,4,45
2007-11,4,50
2007-12,5,63
2008-01,5,47
2008-02,4,37
2008-03,4,41
2008-04,4,40
2008-05,4,44
2008-06,4,38
2008-07,5,51
2008-08,5,52
2008-09,5,47
2008-10,4,54
2008-11,5,55
2008-12,7,66
2009-01,6,50
2009-02,5,39
2009-03,5,38
2009-04,5,49
2009-05,6,46
2009-06,6,42
2009-07,6,51
2009-08,8,52
2009-09,7,42
2009-10,8,50
2009-11,9,53
2009-12,11,67
2010-01,11,58
2010-02,10,42
2010-03,9,43
2010-04,9,46
2010-05,8,46
2010-06,9,44
2010-07,9,55
2010-08,10,50
2010-09,11,44
2010-10,11,54
2010-11,12,51
2010-12,14,66
2011-01,15,48
2011-02,13,34
2011-03,13,40
2011-04,13,44
2011-05,13,39
2011-06,12,39
2011-07,14,50
2011-08,17,52
2011-09,17,43
2011-10,15,47
2011-11,17,48
2011-12,21,62
2012-01,18,52
2012-02,15,38
2012-03,15,41
2012-04,17,53
2012-05,16,47
2012-06,15,42
2012-07,18,53
2012-08,18,57
2012-09,20,55
2012-10,19,53
2012-11,20,49
2012-12,22,67
2013-01,20,52
2013-02,18,36
2013-03,19,46
2013-04,20,39
2013-05,19,42
2013-06,18,41
2013-07,18,53
2013-08,20,57
2013-09,20,47
2013-10,22,47
2013-11,24,50
2013-12,28,67
2014-01,24,52
2014-02,22,37
2014-03,20,38
2014-04,20,50
2014-05,21,44
2014-06,19,43
2014-07,20,52
2014-08,21,62
2014-09,21,48
2014-10,21,50
2014-11,23,52
2014-12,27,72
2015-01,23,54
2015-02,21,42
2015-03,20,41
2015-04,19,47
2015-05,19,45
2015-06,18,46
2015-07,19,64
2015-08,19,69
2015-09,18,51
2015-10,20,57
2015-11,22,56
2015-12,25,73
2016-01,20,60
2016-02,18,41
2016-03,17,50
2016-04,19,46
2016-05,18,48
2016-06,16,45
2016-07,16,67
2016-08,16,68
2016-09,16,54
2016-10,16,63
2016-11,18,61
2016-12,22,83
2017-01,17,61
2017-02,15,47
2017-03,15,45
2017-04,15,63
2017-05,14,49
2017-06,13,57
2017-07,13,72
2017-08,15,77
2017-09,14,59
2017-10,14,62
2017-11,17,66
2017-12,19,91
2018-01,15,68
2018-02,14,50
2018-03,13,60
2018-04,13,57
2018-05,12,53
2018-06,12,58
2018-07,13,76
2018-08,12,82
2018-09,12,64
2018-10,13,71
2018-11,15,71
2018-12,19,95
2019-01,12,67
2019-02,12,51
2019-03,11,51
2019-04,11,72
2019-05,11,54
2019-06,11,65
2019-07,11,80
2019-08,10,91
2019-09,11,71
2019-10,11,68
2019-11,14,76
2019-12,20,100
2020-01,12,70
2020-02,11,53
2020-03,29,26
2020-04,47,13
2020-05,30,32
2020-06,18,45
2020-07,16,51